,TEAM,TOTAL DVOA,W-L,win-loss-pct,Abbr,Net
0,BUF,35.00%,13-3,0.8125,BUF,0.156
1,SF,27.60%,13-4,0.7647058823529411,SF,0.196
2,PHI,25.20%,14-3,0.8235294117647058,PHI,0.163
3,KC,23.00%,14-3,0.8235294117647058,KC,0.18
4,CIN,18.10%,12-4,0.75,CIN,0.124
5,DAL,18.00%,12-5,0.7058823529411765,DAL,0.118
6,BAL,17.90%,10-7,0.5882352941176471,BAL,0.006
7,MIA,8.10%,9-8,0.5294117647058824,MIA,0.032
8,DET,7.70%,9-8,0.5294117647058824,DET,-0.011
9,SEA,5.80%,9-8,0.5294117647058824,SEA,-0.019
10,CLE,5.20%,7-10,0.4117647058823529,CLE,-0.016
11,GB,3.60%,8-9,0.47058823529411764,GB,-0.014
12,JAX,3.30%,9-8,0.5294117647058824,JAX,0.065
13,PIT,0.90%,9-8,0.5294117647058824,PIT,-0.009
14,NE,-0.30%,8-9,0.47058823529411764,NE,0.038
15,NYJ,-0.50%,7-10,0.4117647058823529,NYJ,-0.041
16,TB,-0.70%,8-9,0.47058823529411764,TB,-0.004
17,LAC,-0.80%,10-7,0.5882352941176471,LAC,-0.005
18,NO,-1.70%,7-10,0.4117647058823529,NO,-0.002
19,ATL,-2.80%,7-10,0.4117647058823529,ATL,-0.061
20,NYG,-4.30%,9-7-1,0.5294117647058824,NYG,-0.013
21,WAS,-4.90%,8-8-1,0.47058823529411764,WAS,-0.007
22,TEN,-9.40%,7-10,0.4117647058823529,TEN,-0.081
23,DEN,-11.30%,5-12,0.29411764705882354,DEN,-0.036
24,LV,-11.50%,6-11,0.35294117647058826,LV,-0.059
25,MIN,-13.80%,13-4,0.7647058823529411,MIN,-0.001
26,CAR,-13.90%,7-10,0.4117647058823529,CAR,-0.046
27,ARI,-22.40%,4-13,0.23529411764705882,ARI,-0.094
28,CHI,-26.60%,3-14,0.17647058823529413,CHI,-0.162
29,HOU,-26.70%,3-13-1,0.17647058823529413,HOU,-0.177
30,IND,-32.80%,4-12-1,0.23529411764705882,IND,-0.136
